API,separate,together,mixed,State,State Name,Total,Hispanic,Non-Hispanic,Total,% Hispanic
,X,,,AL,Alabama,4864680,203146,4661534,4864680,4.18%
,X,,,AK,Alaska,738516,51186,687330,738516,6.93%
X,,X,,AZ,Arizona,6946685,2163312,4783373,6946685,31.14%
,X,,,AR,Arkansas,2990671,219052,2771619,2990671,7.32%
,,X,,CA,California,39148760,15221577,23927183,39148760,38.88%
,,X,,CO,Colorado,5531141,1184794,4346347,5531141,21.42%
X,,X,,CT,Connecticut,3581504,561791,3019713,3581504,15.69%
X,,X,,DE,Delaware,949495,86315,863180,949495,9.09%
,X,X,X,DC,,684498,74776,609722,684498,10.92%
,X,,,FL,Florida,20598139,5184720,15413419,20598139,25.17%
,,X,,GA,Georgia,10297484,968463,9329021,10297484,9.40%
,X,,,HI,Hawaii,1422029,147962,1274067,1422029,10.40%
,X,,,ID,Idaho,1687809,209073,1478736,1687809,12.39%
,,X,,IL,Illinois,12821497,2174842,10646655,12821497,16.96%
,X,,,IN,Indiana,6637426,450267,6187159,6637426,6.78%
,X,,,IA,Iowa,3132499,183296,2949203,3132499,5.85%
,X,,,KS,Kansas,2908776,340616,2568160,2908776,11.71%
,X,,,KY,Kentucky,4440204,158744,4281460,4440204,3.58%
,X,,,LA,Louisiana,4663616,234920,4428696,4663616,5.04%
,X,,,ME,Maine,1332813,21421,1311392,1332813,1.61%
,,X,,MD,Maryland,6003435,588912,5414523,6003435,9.81%
,,X,,MA,Massachusetts,6830193,789127,6041066,6830193,11.55%
X,X,,,MI,Michigan,9957488,497897,9459591,9957488,5.00%
,X,,,MN,Minnesota,5527358,292764,5234594,5527358,5.30%
,,X,,MS,Mississippi,2988762,90493,2898269,2988762,3.03%
,X,,,MO,Missouri,6090062,249105,5840957,6090062,4.09%
,X,,,MT,Montana,1041732,39019,1002713,1041732,3.75%
,,,,NE,Nebraska,1904760,203281,1701479,1904760,10.67%
,,X,,NV,Nevada,2922849,831597,2091252,2922849,28.45%
,,X,,NH,New Hampshire,1343622,48356,1295266,1343622,3.60%
,,X,,NJ,New Jersey,8881845,1768020,7113825,8881845,19.91%
,,X,,NM,New Mexico,2092434,1015751,1076683,2092434,48.54%
,,X,,NY,New York,19618453,3705588,15912865,19618453,18.89%
,X,,,NC,North Carolina,10155624,935950,9219674,10155624,9.22%
,,,,ND,North Dakota,752201,26529,725672,752201,3.53%
,X,,,OH,Ohio,11641879,431327,11210552,11641879,3.70%
X,X,,,OK,Oklahoma,3918137,407521,3510616,3918137,10.40%
,X,,,OR,Oregon,4081943,523956,3557987,4081943,12.84%
,X,,,PA,Pennsylvania,12791181,905156,11886025,12791181,7.08%
,,X,,RI,Rhode Island,1056611,158858,897753,1056611,15.03%
X,X,,,SC,South Carolina,4955925,275685,4680240,4955925,5.56%
,,X,,SD,South Dakota,864289,31995,832294,864289,3.70%
,X,,,TN,Tennessee,6651089,352402,6298687,6651089,5.30%
,,X,,TX,Texas,27885195,10921556,16963639,27885195,39.17%
,,X,,UT,Utah,3045350,422123,2623227,3045350,13.86%
,X,,,VT,Vermont,624977,11677,613300,624977,1.87%
,X,,,VA,Virginia,8413774,771177,7642597,8413774,9.17%
,,X,,WA,Washington,7294336,911573,6382763,7294336,12.50%
,X,,,WV,West Virginia,1829054,27522,1801532,1829054,1.50%
X,X,,,WI,Wisconsin,5778394,385779,5392615,5778394,6.68%
,,X,,WY,Wyoming,581836,56966,524870,581836,9.79%
